Course Name_y,Course Name_x,Overview,Course Code
Bachelor of Criminology,Data Analytics and Research ,"The Bachelor of Criminology prepares students to respond to the changing nature of crime in the 21st century by addressing the realities of crime in an increasingly digital and transnational age. Ideal for those starting their careers or extending their learning to respond to industry needs, students specialise in either digital forensics & security, data analytics & research, justice & legal studies, or forensics. The course combines studies in these focus areas with practical social science knowledge and skills needed for professions focused on crime prevention, detection, enforcement or the broader social implications and challenges of crime.

The mix of theory and practice in core subjects, in the curated majors and via possible combined degrees with Forensic Science and International Studies addresses industry needs for an applied approach to criminology and the increasingly digital and transnational dimensions of crime.

There is a choice of three majors within the standard Bachelor of Criminology – Forensics, Data Analytics or Justice and Legal Studies.

The Bachelor of Criminology (Analytics and Research) offers students an opportunity to study an extended major focused on crime statistics and data analytics to inform policy and evaluate interventions.

The Bachelor of Criminology (Digital Security) extended major focuses students' studies on Cybersecurity. It is delivered with UTS Information Technology and Science academics.

Curriculum and applied learning from the real world: Students work with data sets, tools, problems and cases used in industry and contributed by UTS partners to be work-ready.

The course is offered primarily on campus, but individual subjects include aspects of asynchronous self-paced learning, synchronous online activities, collaborative learning and activities on campus, and industry engagement via site visits and/or guest speakers.

",C10446 
Bachelor of Criminology,Digital Forensic ,"The Bachelor of Criminology prepares students to respond to the changing nature of crime in the 21st century by addressing the realities of crime in an increasingly digital and transnational age. Ideal for those starting their careers or extending their learning to respond to industry needs, students specialise in either digital forensics & security, data analytics & research, justice & legal studies, or forensics. The course combines studies in these focus areas with practical social science knowledge and skills needed for professions focused on crime prevention, detection, enforcement or the broader social implications and challenges of crime.

The mix of theory and practice in core subjects, in the curated majors and via possible combined degrees with Forensic Science and International Studies addresses industry needs for an applied approach to criminology and the increasingly digital and transnational dimensions of crime.

There is a choice of three majors within the standard Bachelor of Criminology – Forensics, Data Analytics or Justice and Legal Studies.

The Bachelor of Criminology (Analytics and Research) offers students an opportunity to study an extended major focused on crime statistics and data analytics to inform policy and evaluate interventions.

The Bachelor of Criminology (Digital Security) extended major focuses students' studies on Cybersecurity. It is delivered with UTS Information Technology and Science academics.

Curriculum and applied learning from the real world: Students work with data sets, tools, problems and cases used in industry and contributed by UTS partners to be work-ready.

The course is offered primarily on campus, but individual subjects include aspects of asynchronous self-paced learning, synchronous online activities, collaborative learning and activities on campus, and industry engagement via site visits and/or guest speakers.

",C10446 
Bachelor of Criminology,Forensics ,"The Bachelor of Criminology prepares students to respond to the changing nature of crime in the 21st century by addressing the realities of crime in an increasingly digital and transnational age. Ideal for those starting their careers or extending their learning to respond to industry needs, students specialise in either digital forensics & security, data analytics & research, justice & legal studies, or forensics. The course combines studies in these focus areas with practical social science knowledge and skills needed for professions focused on crime prevention, detection, enforcement or the broader social implications and challenges of crime.

The mix of theory and practice in core subjects, in the curated majors and via possible combined degrees with Forensic Science and International Studies addresses industry needs for an applied approach to criminology and the increasingly digital and transnational dimensions of crime.

There is a choice of three majors within the standard Bachelor of Criminology – Forensics, Data Analytics or Justice and Legal Studies.

The Bachelor of Criminology (Analytics and Research) offers students an opportunity to study an extended major focused on crime statistics and data analytics to inform policy and evaluate interventions.

The Bachelor of Criminology (Digital Security) extended major focuses students' studies on Cybersecurity. It is delivered with UTS Information Technology and Science academics.

Curriculum and applied learning from the real world: Students work with data sets, tools, problems and cases used in industry and contributed by UTS partners to be work-ready.

The course is offered primarily on campus, but individual subjects include aspects of asynchronous self-paced learning, synchronous online activities, collaborative learning and activities on campus, and industry engagement via site visits and/or guest speakers.

",C10446 
Bachelor of Criminology,Justice and Legal Studies ,"The Bachelor of Criminology prepares students to respond to the changing nature of crime in the 21st century by addressing the realities of crime in an increasingly digital and transnational age. Ideal for those starting their careers or extending their learning to respond to industry needs, students specialise in either digital forensics & security, data analytics & research, justice & legal studies, or forensics. The course combines studies in these focus areas with practical social science knowledge and skills needed for professions focused on crime prevention, detection, enforcement or the broader social implications and challenges of crime.

The mix of theory and practice in core subjects, in the curated majors and via possible combined degrees with Forensic Science and International Studies addresses industry needs for an applied approach to criminology and the increasingly digital and transnational dimensions of crime.

There is a choice of three majors within the standard Bachelor of Criminology – Forensics, Data Analytics or Justice and Legal Studies.

The Bachelor of Criminology (Analytics and Research) offers students an opportunity to study an extended major focused on crime statistics and data analytics to inform policy and evaluate interventions.

The Bachelor of Criminology (Digital Security) extended major focuses students' studies on Cybersecurity. It is delivered with UTS Information Technology and Science academics.

Curriculum and applied learning from the real world: Students work with data sets, tools, problems and cases used in industry and contributed by UTS partners to be work-ready.

The course is offered primarily on campus, but individual subjects include aspects of asynchronous self-paced learning, synchronous online activities, collaborative learning and activities on campus, and industry engagement via site visits and/or guest speakers.

",C10446 
Bachelor of Criminology Bachelor of Forensic Science,Bachelor of Criminology Bachelor of Forensic Science ,"The Bachelor of Criminology Bachelor of Forensic Science prepares students to respond to the changing nature of crime in the 21st century by addressing the realities of crime and forensics in an increasingly digital and transnational age. Students develop a skill set that combines enabling sciences, social sciences, in-depth understandings of forensic science and crime in the context of their chosen specialisations in both components of the course.

This course provides students with a thorough understanding of how forensic science and criminology can solve and prevent crime. This is a hands-on course using world-class facilities that are modelled on operational laboratories.

This degree combines theory and practice to address industry needs for an applied approach to criminology and specifically addresses the increasingly digital and transnational dimensions of crime. Students work with data sets, tools, problems and cases used in industry and contributed by UTS partners to be work-ready.

In the Bachelor of Criminology students are able to select from a standard major or an extended major:

Standard majors - Forensics, Data Analytics, or Justice and Legal Studies.

Extended majors - Analytics and Research, or Digital Security

In the Bachelor of Forensic Science students are able to select from 4 majors: Chemistry, Biology, Crime Scene Investigation, or Digital Forensics.

The course is offered primarily on campus, but individual subjects include aspects of asynchronous self-paced learning, synchronous online activities, collaborative learning and activities on campus, and industry engagement via site visits and/or guest speakers.

Pathways: The service of commissioned officers and those who have completed agency training courses is recognised as part of the basis for admission and Recognition of Prior Learning (RPL) for fast-tracking of degree completion.

",C10448 
Bachelor of Criminology Bachelor of Forensic Science,Bachelor of Criminology Bachelor of Forensic Science ,"The Bachelor of Criminology Bachelor of Forensic Science prepares students to respond to the changing nature of crime in the 21st century by addressing the realities of crime and forensics in an increasingly digital and transnational age. Students develop a skill set that combines enabling sciences, social sciences, in-depth understandings of forensic science and crime in the context of their chosen specialisations in both components of the course.

This course provides students with a thorough understanding of how forensic science and criminology can solve and prevent crime. This is a hands-on course using world-class facilities that are modelled on operational laboratories.

This degree combines theory and practice to address industry needs for an applied approach to criminology and specifically addresses the increasingly digital and transnational dimensions of crime. Students work with data sets, tools, problems and cases used in industry and contributed by UTS partners to be work-ready.

In the Bachelor of Criminology students are able to select from a standard major or an extended major:

Standard majors - Forensics, Data Analytics, or Justice and Legal Studies.

Extended majors - Analytics and Research, or Digital Security

In the Bachelor of Forensic Science students are able to select from 4 majors: Chemistry, Biology, Crime Scene Investigation, or Digital Forensics.

The course is offered primarily on campus, but individual subjects include aspects of asynchronous self-paced learning, synchronous online activities, collaborative learning and activities on campus, and industry engagement via site visits and/or guest speakers.

Pathways: The service of commissioned officers and those who have completed agency training courses is recognised as part of the basis for admission and Recognition of Prior Learning (RPL) for fast-tracking of degree completion.

",C10448 
Bachelor of Criminology Bachelor of International Studies,Bachelor of Criminology Bachelor of International Studies ,"The Bachelor of Criminology Bachelor of International Studies prepares students to respond to the changing nature of crime in the 21st century by addressing the realities of crime in an increasingly digital and transnational age. Ideal for those starting their careers or extending their learning to respond to industry needs, students specialise in either digital forensics & security, data analytics & research, justice & legal studies, or forensics and complement this with studies of a language other than English, intercultural communication and practical cultural experience to engage with diverse populations in a professional context.

The mix of theory and practice in core subjects, in the curated majors and via possible combined degrees with Forensic Science and International Studies addresses industry needs for an applied approach to criminology and the increasingly digital and transnational dimensions of crime.

The course is offered primarily on campus, but individual subjects include aspects of asynchronous self-paced learning, synchronous online activities, collaborative learning and activities on campus, and industry engagement via site visits and/or guest speakers.

",C10447 
Bachelor of Laws,Bachelor of Laws ,"The Bachelor of Laws is one of Sydney's leading law degrees. It has been developed to help students build foundational knowledge in the practice of law, as well as the 'soft' skills (problem solving, analytical thinking, spoken and written communication) required to succeed in a legal career.

Students gain a fundamental understanding of the Australian legal system, as well as essential knowledge of common law principles. The course meets the academic requirements for admission to practise as a lawyer in NSW.

Elective subjects enable students to tailor their degree to areas of personal interest – these include law electives, such an environmental law, human rights law, a major in legal futures and technology, or electives from other disciplines – and develop a complementary skill set that enhance their professional prospects.

",C10124 
Bachelor of Forensic Science Bachelor of Laws,None,"In this combined degree, students learn to use science as a tool to enforce the law or to prepare for professional and specialist work in the world of forensic science.

Majoring in biology, chemistry, crime scene investigation or digital forensics, students work in world-class forensic science facilities that have been modelled on operational labs. Simultaneously, they study the foundations of the law, including constitutional, civil, criminal, commercial, tort and ethics law, before choosing an elective path that complements their scientific interests.

Soft skills, including critical thinking and problem solving, are a key component of the degree. The Legal Futures and Technology major is also on offer in this course, offering students the chance to explore smart contracts, AI, blockchain and other technologies as they relate to future legal practice.

Graduates meet the academic requirements for admission to practise law in NSW and benefit from UTS's extensive partnerships with the federal and state police services, national and international forensic institutions, and government laboratories.

",C10391 
Bachelor of Forensic Science Bachelor of Laws,Bachelor of Forensic Science Bachelor of Laws ,"In this combined degree, students learn to use science as a tool to enforce the law or to prepare for professional and specialist work in the world of forensic science.

Majoring in biology, chemistry, crime scene investigation or digital forensics, students work in world-class forensic science facilities that have been modelled on operational labs. Simultaneously, they study the foundations of the law, including constitutional, civil, criminal, commercial, tort and ethics law, before choosing an elective path that complements their scientific interests.

Soft skills, including critical thinking and problem solving, are a key component of the degree. The Legal Futures and Technology major is also on offer in this course, offering students the chance to explore smart contracts, AI, blockchain and other technologies as they relate to future legal practice.

Graduates meet the academic requirements for admission to practise law in NSW and benefit from UTS's extensive partnerships with the federal and state police services, national and international forensic institutions, and government laboratories.

",C10391 
Bachelor of Medical Science Bachelor of Laws,None,"Medical and health practice, medical and biological research, and industrial and commercial enterprise are all areas of medical science where legal expertise is of crucial importance.

Medical Scientists with Law training have careers that are dynamic and involve an exciting range of professions from research and development, policy and practice in the medical and Health and Sciences, government, industrial and commercial applications of medical science and law. Medical Scientists at UTS can chose to major in Medical and Health-related Sciences or Pathology, allowing them to have a speciality relevant to their career choices and interests. In the Medical and Health-related Science major students learn the body through the study of tissues, organs and cellular facets both in health and disease, medical devices, how medicines work, as well as public health policies and clinical trials. In the Pathology major students learn how diseases trigger biochemical or cellular changes in the body and how to best diagnose and treat these diseases. Students also learn how to identify infectious agents and the latest approaches to prevent, treat infections and limit their impact on society. Students learn by applying and investigating scientific approaches in world class laboratories with up-to-date scientific technologies and equipment in line with those used in the industry. This hands-on learning is accompanied by development of professional skills such as communication, problem solving, critical thinking, and innovation.

With the Bachelor of Medical Science Bachelor of Laws, students can prepare for specialist roles in the field of health care law or opt to pursue two discrete qualifications in medical science and law. Elective subjects in biomedicine, mental health or intellectual property tailor the degree to either a health care or research focus, or students can pursue a broad introduction to a range of health and law concepts by choosing subjects that correspond to their individual interests.

The Legal Futures and Technology major enables the development of niche expertise in emerging technologies that are impacting the legal sector, such as smart contracts, AI and blockchain. The Bachelor of Laws satisfies the academic requirements for admission to practise law in NSW.

",C10131 
Bachelor of Medical Science Bachelor of Laws,Bachelor of Medical Science Bachelor of Laws ,"Medical and health practice, medical and biological research, and industrial and commercial enterprise are all areas of medical science where legal expertise is of crucial importance.

Medical Scientists with Law training have careers that are dynamic and involve an exciting range of professions from research and development, policy and practice in the medical and Health and Sciences, government, industrial and commercial applications of medical science and law. Medical Scientists at UTS can chose to major in Medical and Health-related Sciences or Pathology, allowing them to have a speciality relevant to their career choices and interests. In the Medical and Health-related Science major students learn the body through the study of tissues, organs and cellular facets both in health and disease, medical devices, how medicines work, as well as public health policies and clinical trials. In the Pathology major students learn how diseases trigger biochemical or cellular changes in the body and how to best diagnose and treat these diseases. Students also learn how to identify infectious agents and the latest approaches to prevent, treat infections and limit their impact on society. Students learn by applying and investigating scientific approaches in world class laboratories with up-to-date scientific technologies and equipment in line with those used in the industry. This hands-on learning is accompanied by development of professional skills such as communication, problem solving, critical thinking, and innovation.

With the Bachelor of Medical Science Bachelor of Laws, students can prepare for specialist roles in the field of health care law or opt to pursue two discrete qualifications in medical science and law. Elective subjects in biomedicine, mental health or intellectual property tailor the degree to either a health care or research focus, or students can pursue a broad introduction to a range of health and law concepts by choosing subjects that correspond to their individual interests.

The Legal Futures and Technology major enables the development of niche expertise in emerging technologies that are impacting the legal sector, such as smart contracts, AI and blockchain. The Bachelor of Laws satisfies the academic requirements for admission to practise law in NSW.

",C10131 
Bachelor of Science Bachelor of Laws,None,"This degree addresses the increasing need for scientific expertise among lawyers.

With the Bachelor of Laws, students explore the common law and the broader Australian legal system before building specialist expertise through electives and majors. These include biomedical law, bioethics, and intellectual property law, or the Legal Futures and Technology major, which provides an intensive exploration of emerging technologies that are shaping the legal sector. With the Bachelor of Science, students study the fundamentals of science before choosing a major in either nanotechnology, medical science, biotechnology or mathematics, or using their electives to build a degree that reflects their personal interests.

This course meets the academic requirements for admission to practise law in NSW. Graduates possess an understanding of the law in the context of research and industrial and commercial enterprise, making them ready for specialist legal careers in areas such as patent, environmental or medical law.

",C10126 
Bachelor of Science Bachelor of Laws,Bachelor of Science Bachelor of Laws ,"This degree addresses the increasing need for scientific expertise among lawyers.

With the Bachelor of Laws, students explore the common law and the broader Australian legal system before building specialist expertise through electives and majors. These include biomedical law, bioethics, and intellectual property law, or the Legal Futures and Technology major, which provides an intensive exploration of emerging technologies that are shaping the legal sector. With the Bachelor of Science, students study the fundamentals of science before choosing a major in either nanotechnology, medical science, biotechnology or mathematics, or using their electives to build a degree that reflects their personal interests.

This course meets the academic requirements for admission to practise law in NSW. Graduates possess an understanding of the law in the context of research and industrial and commercial enterprise, making them ready for specialist legal careers in areas such as patent, environmental or medical law.

",C10126 
Bachelor of Laws Bachelor of International Studies,None,"The Bachelor of Laws Bachelor of International Studies takes a global approach to the study of law and culture, offering students the opportunity to spend up to an academic year overseas, depending on their chosen pathway. Years 1–3 of the course are conducted at UTS, and encompass legal studies core subjects and electives/majors, including the new Legal Futures and Technology major.

In the International Studies component, students select a country major that guides their choice of language and culture subjects in preparation for their overseas experience.

In addition to immersing students in another culture, the international studies program also delivers hands-on experience with cross-cultural legal issues, preparing students for international legal roles or to provide legal expertise for international organisations or foreign investors. This course also meets the academic requirements for admission to practise law in NSW.

",C10129 
Bachelor of Laws Bachelor of Creative Intelligence and Innovation,Bachelor of Laws Bachelor of Creative Intelligence and Innovation ,"The Bachelor of Laws Bachelor of Creative Intelligence and Innovation is an innovative UTS degree with a focus on creating new value through transdisciplinary problem solving.

By combining these courses, students learn to solve complex challenges, work collaboratively across and between disciplines, and apply their conceptual and problem-solving expertise beyond traditional professional boundaries.

Both degrees are practice-oriented in their design. In the BCII, students use design processes to engage with industry experiences, real-world projects and self-initiated proposals. The law component of this degree offers fieldwork, leadership, mooting and mentoring opportunities, and meets the academic requirements for admission to practise law in NSW. Students can also enrol in the Legal Futures and Technology major, which provides a future-focused look at the technologies shaping the legal profession.

By the end of the course, students have the skills to engage in critical and creative thinking, invention, complexity, innovation, future scenario building and entrepreneurship, and the ability to work on their own across disciplines.

Graduates have the capacity to take a contemporary and solutions-focused approach to a career in law, or to use their legal expertise as a solid foundation for entrepreneurial, collaborative, strategic or analytical positions across a range of professional sectors.

",C10338 
Bachelor of Communication (Digital and Social Media) Bachelor of Laws,Digital and Social Media ,"This course responds to the changing digital communication landscape.

Students gain the professional skills and underpinning legal expertise required for a successful career as a communication professional, or as a lawyer in a communication or related environment. Upon successful completion of the Bachelor of Laws, they meet the academic requirements for admission to practise law in NSW. Course content emphasises creative and strategic communication capabilities, technological literacy, and the capacity to operate across diverse platforms and environments, particularly in social media contexts.

Elective and major choices provide opportunities for diverse and complementary skill sets; students who choose the new Legal Futures and Technology major gain an understanding of the systems, apps and platforms that inform future legal practice.

This course prepares students to become technologically literate, culturally sophisticated, innovative and resourceful. Graduates are ready to take an informed approach to digital community strategy and planning based on a comprehensive understanding of the sector's shifting legal terrain.

",C10379 
Bachelor of Communication (Journalism) Bachelor of Laws,Journalism ,"Journalism operates within a complex set of ethical and legal boundaries. Understanding the law and how it impacts professional journalistic practice is essential to both journalism and media-specific legal careers.

This degree provides students with the knowledge and the practical skills required to become highly effective practitioners in either professional discipline, and meets the academic requirements for admission to practice law in NSW.

Course content combines the intellectual, ethical and political foundations of journalism with the study of Australian legal theory and practice. Students learn to produce multi-platform journalism stories and build exceptional communication skills that are also applicable in the legal profession, including in research, writing and analysis.

Elective choices include media-specific law subjects, cross-disciplinary communication subjects, or the Legal Futures and Technology major.

Graduates can pursue careers in media and communications legal practice, policy and research work; specialist legal and crime reporting and publishing for print, internet, radio or television; and legal communications or publishing in the private sector.

",C10380 
Bachelor of Communication (Media Arts and Production) Bachelor of Laws,Media Arts and Production ,"In this degree, students engage with the fundamentals of the legal system and the legal frameworks that underpin a range of creative ventures, as well as the conceptual, theoretical and production skills required for a successful media career.

Communication course content spans film, video, sound and new media; students develop a creative portfolio in their chosen discipline that details project work produced throughout the course.

Law content encompasses fundamental legal theory and practice and meets the academic requirements for admission to practise law in NSW. Elective choices include cross-discipline studies in history, communication, media and country studies; specialist legal subjects, such as media, entertainment and intellectual property law; and the Legal Futures and Technology major.

Students build a diverse set of technical skills, an understanding of intellectual property, and first-hand experience of the role of technology in the legal and media production landscape.

",C10381 
Bachelor of Communication (Media Business) Bachelor of Laws,Media Business ,"Graduates of the new Media Business course have developed management skills to lead contemporary media businesses. Students learn the core business skills to drive business success in creative industries of media production such as film and TV, advertising, music and online content. A fundamental understanding of the law as it relates to media businesses is a valuable tool for professionals in this field.

In this course students develop the necessary management skills to lead contemporary media businesses that can range from film and TV production to music or games companies to advertising agencies. Students learn about strategic planning, business development and promotion for creative industries; they also explore in-depth the legal theory and practice that meets the academic requirements for admission to practise law in NSW.

Using their elective choices, students can build specialist expertise in areas such as media, entertainment and contract law. They can also choose to study the Legal Futures and Technology major as a way of gaining first-hand experience of the technologies shaping the future of legal work.

",C10455 
Bachelor of Communication (Strategic Communication) Bachelor of Laws,Strategic Communication ,"Strategic communicators are responsible for a range of public-facing communication initiatives, such as digital, traditional and social media and marketing campaign design and production, advertising, media liaison or the development and implementation of large-scale communication strategies. As such, a fundamental understanding of the law as it relates to public engagement is a valuable tool for professionals in this field.

This degree enables students to explore strategic communication processes and industries – such as advertising and public relations – in their social, economic and political contexts. Course content emphasises specialist skills in communication campaign design and production, as well as an in-depth exploration of legal theory and practice that meets the academic requirements for admission to practise law in NSW.

Using their elective choices, students can build specialist expertise in areas such as media, entertainment and contract law. They can also choose to study the Legal Futures and Technology major as a way of gaining first-hand experience of the technologies shaping the future of legal work.

",C10382 
Bachelor of Communication (Social and Political Sciences) Bachelor of Laws,Social and Political Sciences ,"This degree combines expertise in social and political sciences with fundamental knowledge of the law. Students study sociology, social policy, politics, public history and international studies in the context of legal and social science practice. They simultaneously engage with an exploration of the law that meets the academic requirements for admission to practise in NSW.

By combining professional studies, hands-on research, internships and fieldwork in two discrete disciplines, this combined degree equips students to consider the role of the law as a tool for social and political change.

Elective choices include cross-discipline studies in history, communication, media and country studies; specialist legal subjects; and the Legal Futures and Technology major, which provides first-hand experience of the technologies shaping the future of the legal profession.

Graduates are ready to use their professional legal requirement to support activities in social research, policy development and political advocacy, or for roles in the social science, media and communication sectors.

",C10383 
Bachelor of Communication (Writing and Publishing) Bachelor of Laws,Writing and Publishing ,"This combined degree equips students with a legal foundation for their creative practice or a creative foundation for a legal career. Students are immersed in the theory and practice of contemporary writing, editing and publishing, exploring and creating key storytelling forms, and building vocational experiences in print and digital publishing and editing.

The simultaneous study of a range of legal subjects, from the fundamentals of the law to specialist skills in niche legal disciplines, ensures that students meet the academic requirements for admission to practise law in NSW.

Elective choices include cross-disciplinary studies in history, communication, media and country studies; specialist legal subjects, such as contracts, entertainment and intellectual property law; and the Legal Futures and Technology major, which provides first-hand experience of the technologies shaping the future of the legal profession.

Graduates emerge with the high-level creative, analytical and communication skills required to manage the legal aspects of a writing career, or for a legal career in which writing skills can add eloquence and character to their work.

",C10378 
Bachelor of Forensic Science (Honours),Bachelor of Forensic Science (Honours) ,"As the first forensic science degree in Australia, the world-class UTS Bachelor of Forensic Science is recognised for producing future leaders in this compelling field of practice. More than just a theoretical science degree, this course delivers a comprehensive learning experience at the intersection of STEM, information technology, law, criminology and social impact.

The honours degree contains an additional year of study on top of the standard Bachelor of Forensic Science curriculum. This year is dedicated to the acquisition of high-level research skills under the guidance of leading academics and industry practitioners from the acclaimed UTS Centre for Forensic Science.

Why UTS Science? UTS Science, one of Australia’s leading university science faculties, is committed to scientific advancement that creates a more sustainable world. When students study with UTS, they join a university that delivers global impact in STEM education and research and a faculty that produces scientists with the power to transform the profession.

Course features Students complete a year-long forensic science research project in a UTS lab or with one of many industry partners, engaging and collaborating on a real-world project that offers value to the profession. Insights from our industry partners indicate high demand for graduates with more than just fundamental forensic science skills — as well as developing hands-on research experience and producing a formal thesis, honours students gain a range of professional capabilities (critical thinking, collaboration, autonomous practice) that prepare them to meet this workforce demand.

",C09100 
Bachelor of Mathematical Sciences (Honours),Bachelor of Mathematical Sciences (Honours) ,"The Bachelor of Mathematical Sciences (Honours) is an introduction into research training and advanced study in the areas of mathematics, statistics, data science, finance, and industrial optimisation. There is a focus on independent learning fostering professional skills such as effective time management through the hands-on experience of managing a creative project. The course challenges students to exercise more initiative and independence, and to develop greater depth of knowledge and advanced analytical skills, all attributes that are highly sought after by employers.

This course focuses on the application of cutting-edge mathematical techniques to real-world problems through the completion of student led learning. Students who complete the honours degree are well prepared to enter the workforce at a high level or to undertake graduate studies.

",C09129 
Bachelor of Medical Science (Honours),Bachelor of Medical Science (Honours) ,"The Bachelor of Medical Science (Honours) includes an additional research year on top of the standard Bachelor of Medical Science curriculum, which combines the study of health science with technical, professional and communication-centric subjects taught by leading researchers and medical science practitioners

Available to high-performing students, this leading qualification is comprised of a year-long original research project in a professional medical science environment. Students can further develop their expertise in this specialist discipline and build high-level science research skills that are highly valued by employers.

Why UTS Science? UTS Science, one of Australia’s leading university science faculties, is committed to scientific advancement that creates a more sustainable world. When students study with UTS, they join a university that delivers global impact in STEM education and research and a faculty that produces scientists with the power to transform the profession.

Course features Students complete a year-long medical science research project in a UTS laboratory or with one of the university’s numerous industry partners. They work under the guidance of leading academics and practitioners, developing research skills with real relevance to industry. They also learn to engage, partner and collaborate with working scientists and develop a range of professional capabilities, including report writing and presentation skills, that have immediate utility in a vast range of medical science and similar roles.

",C09031 
Bachelor of Science (Honours),Bachelor of Science (Honours) ,"Science holds the key to many of the challenges – pandemics, climate change, antibiotic resistance – that threaten the world today. With the UTS Bachelor of Science, students can take their place at the forefront of a profession with the power to build resilience in both humanity and the planet.

The Bachelor of Science (Honours) degree includes an additional research year on top of the standard Bachelor of Science curriculum. Available to high-performing students, this leading qualification is comprised of a year-long original research project in a professional scientific environment. With a choice of four disciplines, students can further develop specialist expertise in their chosen area of science and build high-level science research skills that are highly valued by employers.

Why UTS Science? UTS Science, one of Australia’s leading university science faculties, is committed to scientific advancement that creates a more sustainable world. When students study with UTS, they join a university that delivers global impact in STEM education and research and a faculty that produces scientists with the power to transform the profession.

Course features Students complete a year-long project in a professional in a professional laboratory at UTS or with one of the university’s numerous industry partners, choosing from the following discipline areas:

They work under the guidance of leading academics and practitioners, developing research skills with real relevance to industry. They also learn to engage, partner and collaborate with working scientists and develop a range of professional capabilities, including report writing and presentation skills, that have immediate utility in a vast range of science and similar roles.

",C09168 
Bachelor of Forensic Science Bachelor of International Studies,Bachelor of Forensic Science Bachelor of International Studies ,"The Bachelor of Forensic Science Bachelor of International Studies prepares students for professional and specialist work in the discipline of forensic science. Students build a solid foundation of skills and knowledge in the enabling sciences, complemented by an in-depth understanding of forensic science in the context of their chosen discipline. Development of critical thinking and problem-solving skills is a focus of the degree, with graduates in high demand from a diverse range of industries and organisations.

In the International Studies component, students select one of six languages (Chinese, French, German, Italian, Japanese, or Spanish) and one of the following three pathways: Language, Culture & the Professional World, Language; Culture & Global Exchange; and International Honours.

This course provides students with a thorough understanding of how forensic science can solve and prevent crime. This is a hands-on course using world-class facilities that are modelled on operational laboratories. The course is well regarded nationally and internationally, with strong links to industries such as the federal and state police services, national and international forensic institutions, and government laboratories.

International study is unique allowing students to gain qualifications in language and cultural awareness for a country of their choice. This added dimension expands students’ career opportunities and employability in the global workplace.

",C10388 
Bachelor of Mathematical Sciences Bachelor of International Studies,Bachelor of Mathematical Sciences Bachelor of International Studies ,"Bachelor of Mathematical Sciences Bachelor of International Studies is an exciting combined degree in mathematical sciences, language and cultures. It enables students with a strong interest in mathematics, statistics, and data to grow and develop skills that are in high demand in the modern work force. The basis is a comprehensive foundation of core mathematical competencies, combined with one of four majors, ensuring graduates have the knowledge and skills to develop and adapt in the rapidly changing work environment.

Mathematical sciences focuses on the application of mathematical techniques to real-world problems.

In the International Studies, students select one of six languages (Chinese, French, German, Italian, Japanese, or Spanish) and one of the following three pathways: Language, Culture & the Professional World, Language; Culture & Global Exchange; and International Honours.

The core provides a broad mathematical foundation, while each major provides depth of study. International studies is unique, allowing students to gain qualifications in language and cultural awareness relating to a country of their choice. This added dimension expands students’ career opportunities and employability in the global workplace.

",C10458 
Bachelor of Mathematical Sciences Bachelor of International Studies,Bachelor of Mathematical Sciences Bachelor of International Studies ,"Bachelor of Mathematical Sciences Bachelor of International Studies is an exciting combined degree in mathematical sciences, language and cultures. It enables students with a strong interest in mathematics, statistics, and data to grow and develop skills that are in high demand in the modern work force. The basis is a comprehensive foundation of core mathematical competencies, combined with one of four majors, ensuring graduates have the knowledge and skills to develop and adapt in the rapidly changing work environment.

Mathematical sciences focuses on the application of mathematical techniques to real-world problems.

In the International Studies, students select one of six languages (Chinese, French, German, Italian, Japanese, or Spanish) and one of the following three pathways: Language, Culture & the Professional World, Language; Culture & Global Exchange; and International Honours.

The core provides a broad mathematical foundation, while each major provides depth of study. International studies is unique, allowing students to gain qualifications in language and cultural awareness relating to a country of their choice. This added dimension expands students’ career opportunities and employability in the global workplace.

",C10458 
